filename,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
m17q2_preprocessed_calibrated.csv,17,2,0.03798126951092612,0.0837669094693028,0.863013698630137,0.8074534161490683,1.1873868015167897,1.992446594684676
m17q3_preprocessed_calibrated.csv,17,3,0.05128205128205128,0.05752794214332676,0.8333333333333334,0.7028571428571428,2.030591325654372,1.582506163538316
m17q4_preprocessed_calibrated.csv,17,4,0.023696128560993426,0.051044558071585096,0.7163995067817509,0.6462507155123068,1.5987493160272324,1.5635686960278286
m17q5_preprocessed_calibrated.csv,17,5,0.03206997084548105,0.08871303623490212,0.7402597402597403,0.6619718309859155,0.7219280948873623,1.2487172542329656
m18q1_preprocessed_calibrated.csv,18,1,0.052742382271468144,0.0863157894736842,0.8781512605042017,0.834403080872914,2.565774527698621,2.3255344804795546
m18q2_preprocessed_calibrated.csv,18,2,0.049470553242117785,0.08316478286734087,0.8662818662818663,0.8220314735336195,2.7077566531697315,2.306690220137809
m18q3_preprocessed_calibrated.csv,18,3,0.09216316594363472,0.10645735151836709,0.9471723670843211,0.861624157138669,3.397255947461748,3.124455728943522
m18q4_preprocessed_calibrated.csv,18,4,0.13160373122471394,0.2017840983142251,0.8685983237975259,0.9038468122011617,2.4938145194933106,2.830919594348973
m18q5_preprocessed_calibrated.csv,18,5,0.024337479718766902,0.05922120064899946,0.8,0.6529680365296804,1.3834651896016472,1.015649462370633
m19q1_preprocessed_calibrated.csv,19,1,0.021606648199445983,0.05313019390581718,0.6871794871794872,0.6798748696558915,2.0337167956280267,1.8382124351225833
m19q2_preprocessed_calibrated.csv,19,2,0.02847107438016529,0.058016528925619835,0.6981132075471698,0.6481481481481481,1.5857113578355377,1.7846484496786272
m19q3_preprocessed_calibrated.csv,19,3,0.03507728894173603,0.06316884661117717,0.7457627118644068,0.788235294117647,1.7256579943503696,2.2257225089163177
m19q4_preprocessed_calibrated.csv,19,4,0.09579744375882206,0.14816835569135026,0.8739665625574132,0.9006960777326396,2.6307989284613003,2.7282996445496055
m19q5_preprocessed_calibrated.csv,19,5,0.027806579319445753,0.051937034593269864,0.8033898305084746,0.705989110707804,1.7533482549671358,1.8672117724993025
m2q1_preprocessed_calibrated.csv,2,1,0.0713085486242386,0.11441923965553455,0.9285714285714286,0.9173932996787517,3.1147130091990967,2.8529755698222585
m2q2_preprocessed_calibrated.csv,2,2,0.02394386574074074,0.0661892361111111,0.8680765357502518,0.8502732240437159,2.7380230476768244,2.501564686080611
m2q3_preprocessed_calibrated.csv,2,3,0.04492728531855956,0.08890235457063712,0.8651252408477842,0.8510223953261928,2.5970287724834997,2.426083531410302
m2q4_preprocessed_calibrated.csv,2,4,0.07191593169450178,0.1359279414524301,0.8325853251226386,0.8712242531338009,2.4494191254457145,2.530909433900566
m2q5_preprocessed_calibrated.csv,2,5,0.03353658536585366,0.13607971445568115,0.6829268292682927,0.8174863387978142,1.580139239816084,2.1663831988123636
m20q1_preprocessed_calibrated.csv,20,1,0.0477906427221172,0.11306710775047259,0.8603213844252163,0.8526645768025078,2.457805617391596,2.269577449598861
m20q2_preprocessed_calibrated.csv,20,2,0.024467455621301776,0.06405325443786983,0.7654171704957679,0.7473441108545035,2.259197275236725,2.245914859772268
m20q3_preprocessed_calibrated.csv,20,3,0.026122448979591838,0.05877551020408163,0.78125,0.625,0.9055872616982603,0.8470056411015325
m20q4_preprocessed_calibrated.csv,20,4,0.021488721536790757,0.05620538019192081,0.7845898922949461,0.7193538169147925,1.898942037609058,2.117342317446669
m20q5_preprocessed_calibrated.csv,20,5,0.04359861591695502,0.0809688581314879,0.8285714285714286,0.7162393162393162,2.0840530492649116,2.081602780469384
