ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n13q1,Control,13,1,0.06,0.0755102040816326,0.8843537414965986,0.8540540540540541,2.1563302726853864,1.937505937353908,6971.0,8,0.0,86.15272141417236,7,3,8.562
n13q2,Control,13,2,0.0338,0.0714,0.834319526627219,0.8627450980392157,2.0862458134401134,2.0328620255095005,8684.0,12,0.0,93.9301076610065,19,3,11.979999999999999
n13q3,Control,13,3,0.0374376539871402,0.0554654167417823,0.8812199036918138,0.8634886240520043,2.59482324696408,2.42949832253576,11613.0,16,1.5287916818938618,81.89886397432836,19,16,15.649999999999999
n13q4,Control,13,4,0.0874655894888916,0.1537781483371547,0.9013887747555264,0.9198878242580042,2.8619892352893577,2.901089630606448,39477.0,22,1.0121676787187333,75.57755780352724,25,16,45.10599999999999
n13q5,Control,13,5,0.0373453578448375,0.0699502832697421,0.8452012383900929,0.775206611570248,1.913167224812492,1.659982193838578,6724.0,12,2.875180797795151,108.8147848481386,19,9,11.735999999999997
n14q1,Control,14,1,0.0455363321799308,0.082076124567474,0.9088145896656536,0.8414839797639123,2.7426882940498905,2.653812308619687,8316.0,8,0.0,68.19940317177091,11,2,10.396
n14q2,Control,14,2,0.0309007232084155,0.056870479947403,0.7978723404255319,0.6878612716763006,1.9517374334224664,1.5027295456562917,7087.0,9,0.42714997395528437,118.08162230918973,12,0,9.292
n14q3,Control,14,3,0.0354019158683881,0.0703873386089129,0.8470588235294118,0.8076923076923077,2.5281473406208894,1.9895553694729664,8437.0,9,5.148199482554622,125.54378077065712,15,16,11.735
n14q4,Control,14,4,0.190708546384222,0.286953981008035,0.922475869465298,0.9509214947561349,2.9422898610650914,3.093829706970291,19680.0,8,1.3904137834182508,86.53172254739668,19,4,22.241999999999987
n14q5,Control,14,5,0.0309375,0.0734375,0.8383838383838383,0.8042553191489362,2.0399627277632297,1.870030381896905,5381.0,12,4.196908673805252,93.33902744977628,15,12,9.899999999999999
n15q1,Control,15,1,0.0440386680988184,0.0633727175080558,0.8254172015404364,0.83942908117752,2.5070564913032483,2.2771190172869056,15037.0,7,0.0,54.35089632362221,6,4,16.383
n15q2,Control,15,2,0.0295138888888888,0.0536024305555555,0.8529411764705882,0.7732793522267206,1.7448019292934371,1.7867642956953866,9778.0,9,1.6814065128499545,77.78606921180557,8,3,11.488999999999999
