ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n16q3,Control,16,3,0.0469018364381027,0.070154577883472,0.8816901408450705,0.7853107344632768,1.907254689803571,1.994673497423284
n16q4,Control,16,4,0.2816281402919678,0.2656989005139125,0.9434387495456198,0.9368112814980348,3.30130935602274,3.273559363723846
n16q5,Control,16,5,0.0453977509371095,0.0878800499791753,0.944954128440367,0.7440758293838863,1.9579393553211155,1.8967932296752048
n17q1,Control,17,1,0.0434025257657134,0.1020467411815938,0.8528428093645485,0.8634423897581792,1.9850518289209849,2.4955954767888264
n17q2,Control,17,2,0.0559205255568018,0.09405543983336,0.9369627507163324,0.8739352640545145,2.3077920989669205,2.308296208023858
n17q3,Control,17,3,0.0456936226166995,0.0654174884944115,0.8633093525179856,0.7839195979899497,2.1943632058259674,1.862068224662477
n17q4,Control,17,4,0.2076484768792461,0.2209803491854774,0.905716798592788,0.8695867768595041,2.8314114703406457,2.592452908528298
n17q5,Control,17,5,0.0616319444444444,0.09375,0.7887323943661971,0.75,1.4717374334224662,1.4557311446348573
n18q1,Control,18,1,0.0788888888888888,0.0933333333333333,0.9154929577464788,0.8511904761904762,2.4216754983307034,2.097482118754065
n18q2,Control,18,2,0.0528120713305898,0.0845336076817558,0.9285714285714286,0.8539553752535497,2.8745818230752773,1.999177016277268
n18q3,Control,18,3,0.0514597773576979,0.0825456836798991,0.8775510204081632,0.8320610687022901,1.684942097000906,1.7166178548453257
n18q4,Control,18,4,0.2573716967656361,0.2511988572594633,0.9468780971258672,0.9352152721364744,3.4730992073818814,3.3407377353482017
n18q5,Control,18,5,0.0357627885921231,0.0710728836577637,0.8481012658227848,0.6178343949044586,1.3921472236645345,1.7474130395316416
n19q1,Control,19,1,0.0628125,0.1009375,0.9104477611940298,0.9164086687306502,2.7862646408030467,2.659981121082628
n19q2,Control,19,2,0.0364837690318873,0.0738293593794886,0.8110236220472441,0.7120622568093385,2.072905595320056,1.5490102329137057
n19q3,Control,19,3,0.0835796828809459,0.1045417898414404,0.9035369774919614,0.8046272493573264,2.025437740310237,1.952495916241358
n19q4,Control,19,4,0.3372478835287257,0.3479458665969555,0.949555780812116,0.9275270184361092,3.4445250065205832,3.4545387656527997
n19q5,Control,19,5,0.0735802469135802,0.0854320987654321,0.8389261744966443,0.7109826589595376,1.685567202024124,1.359022282560045
n2q1,Control,2,1,0.0650340136054421,0.1025850340136054,0.9191073919107392,0.9363395225464192,2.8224862329467286,2.687305695593221
n2q2,Control,2,2,0.0388014476895884,0.0721319754229442,0.8394793926247288,0.8133022170361727,2.080460946622641,1.9237915007140436
n2q3,Control,2,3,0.0514220051709279,0.0744039069232979,0.8966480446927374,0.862934362934363,2.5018591379834665,2.378767552683672
n2q4,Control,2,4,0.2059312687102817,0.2569457817615238,0.9126073280625692,0.9279144239285958,3.416447058759378,3.537525610003619
n2q5,Control,2,5,0.1087257617728531,0.1447368421052631,0.9187898089171974,0.895933014354067,3.0388602165872918,2.684370762023776
n20q1,Control,20,1,0.0472222222222222,0.0888888888888888,0.788235294117647,0.8625,1.7917374334224665,2.191081909468716
n20q2,Control,20,2,0.0526315789473684,0.0975684826100338,0.8830409356725146,0.7602523659305994,2.503465189601647,2.0578195265893915
n20q3,Control,20,3,0.0541559214441579,0.0759769886927197,0.8534798534798534,0.7336814621409922,1.7856262870402702,1.6323455130144044
n20q4,Control,20,4,0.1660181916565745,0.25434821819681,0.8801800403538724,0.9051767804680376,2.66815258725114,2.6375743299251653
n20q5,Control,20,5,0.04150390625,0.0908203125,0.7176470588235294,0.6612903225806451,1.6679511971986447,1.7806624822329098
n3q1,Control,3,1,0.0789930555555555,0.0942322530864197,0.9181929181929182,0.8945752302968271,3.4518657367545256,2.7941709606999625
n3q2,Control,3,2,0.0561339972838388,0.0744680851063829,0.8951612903225806,0.8085106382978723,2.721874720718989,2.4176323202290817
n3q3,Control,3,3,0.0577256944444444,0.0876736111111111,0.8872180451127819,0.7772277227722773,2.192107667504595,2.267329814346012
n3q4,Control,3,4,0.2653858418367347,0.2846779336734694,0.9654550916191048,0.9406328759451136,3.922831058677078,3.6351887667765785
n3q5,Control,3,5,0.0583900226757369,0.0966553287981859,0.8592233009708737,0.7448680351906158,3.1426782786188783,2.2789822734555925
n4q1,Control,4,1,0.094017094017094,0.1390532544378698,0.916083916083916,0.8794326241134752,2.6833891344750835,2.49228867151088
n4q2,Control,4,2,0.052647233789411,0.0809042236763831,0.9322033898305084,0.8676470588235294,2.802158202550748,2.4922798144259697
n4q3,Control,4,3,0.046713239626294,0.0729736554162107,0.8702702702702703,0.7739331026528259,2.26613961205571,1.9581163033622468
n4q4,Control,4,4,0.1418435904326793,0.1903896801934963,0.915725653656688,0.9250183501778556,2.85148673824703,3.0485638048032966
n4q5,Control,4,5,0.0726802642918701,0.1261131858661304,0.8735177865612648,0.7995444191343963,2.7590092698114583,2.953405032409649
n5q1,Control,5,1,0.1108,0.1608,0.9765342960288808,0.9552238805970148,3.5280915711783454,3.3202596834743483
n5q2,Control,5,2,0.0432679387261488,0.0902983069067454,0.8757763975155279,0.8541666666666666,2.442656444768284,2.6450233364936
n5q3,Control,5,3,0.0474102079395085,0.0772022684310018,0.8851674641148325,0.8178256611165524,2.416315370099449,1.9828994631398944
n5q4,Control,5,4,0.1454164413196322,0.2445240670632774,0.9316596931659692,0.943876140447885,3.1034231732253987,3.322219582428922
n5q5,Control,5,5,0.0714955901670107,0.1345468192906736,0.8530183727034121,0.8577405857740585,2.236244602135588,2.080432521237807
n6q1,Control,6,1,0.0467451523545706,0.0834487534626038,0.837037037037037,0.8589211618257261,2.0154931311607576,2.014209037092108
n6q2,Control,6,2,0.0675952296190815,0.1077340690637237,0.9104674127715604,0.9016935150764148,2.806125660223148,2.9003051695081155
n6q3,Control,6,3,0.040251296661553,0.0742932281393819,0.8475499092558983,0.783677482792527,2.5727381251349724,2.1609199262775807
n6q4,Control,6,4,0.094764268547427,0.136227847532625,0.8805404124200047,0.8806265457543281,2.653623459483472,2.7525214615110487
n6q5,Control,6,5,0.0379812695109261,0.0806451612903225,0.7397260273972602,0.6709677419354839,1.115520093581932,1.0467971909113798
